database,schema,table,stored_procedures
snowflake,fast_pass,entity_to_medical_term,"['RawFile_spuMergeEntityToMedicalTerm', 'RawFile_spuMergeEntityToMedicalTerm']"
snowflake,fast_pass,provider_delta,"['RawFile_spuMergeEntityToMedicalTerm', 'FastPass_spuMergeProviderToHealthInsurance', 'FastPass_spuMergeProviderToStatus', 'FastPass_spuMergeProviderToOffice', 'FastPass_spuMergeProviderToProviderType', 'RawFile_spuMergeEntityToMedicalTerm', 'FastPass_spuMergeProviderToHealthInsurance', 'FastPass_spuMergeProviderToStatus', 'FastPass_spuMergeProviderToOffice', 'FastPass_spuMergeProviderToProviderType', 'FastPass_spuDeleteProviderFacilityDesignations', 'etl_spuProviderDeltaLoads', 'FastPass_spuMergeProviderToAboutMe', 'FastPass_spuMergeProviderToFacility', 'FastPass_spuMergeProviderToSpecialty', 'FastPass_spuMergeProviderToEducationInstitution', 'FastPass_spuMergeProviderToCertificationSpecialty', 'FastPass_spuMergeProvider', 'FastPass_spuMergeProviderLicense', 'FastPass_spuMergeProviderToDegree', 'FastPass_spuMergeProviderToLanguage', 'FastPass_spuMergeProviderToTelehealth']"
db_metrics,dbo,process_status,"['RawFile_spuMergeEntityToMedicalTerm', 'etl_spuMergeProviderFacility', 'etl_spuMergeProviderSpecialty', 'RawFile_spuProviderToProviderType', 'RawFile_spuProviderToDegree', 'FastPass_spuMergeOfficeToHours', 'FastPass_spuDeDuplicateOffices', 'RawFile_spuClientProductEntityRelationship', 'etl_spuMergeProviderSubStatus', 'etl_spuMergeProviderTraining', 'etl_spuMergeProviderOffice', 'FastPass_spuMergeProviderToHealthInsurance', 'FastPass_spuPreProcess', 'etl_spuMergeProviderIdentification', 'FastPass_spuMergeProviderToStatus', 'FastPass_spuMergeProviderToProviderType', 'RawFile_spuMergeProviderEducationInstitution', 'etl_spuMergeProviderOfficeCustomerProduct', 'etl_spuMergeProviderClinicalFocus', 'etl_spuMergeProviderAppointmentAvailability', 'RawFile_spuMergeEntityToMedicalTerm', 'etl_spuMergeProviderSurveySuppression', 'etl_spuMergeProviderFacility', 'etl_spuMergeProviderSpecialty', 'RawFile_spuProviderToProviderType', 'RawFile_spuProviderToDegree', 'FastPass_spuMergeOfficeToHours', 'FastPass_spuDeDuplicateOffices', 'RawFile_spuClientProductEntityRelationship', 'etl_spuMergeProviderSubStatus', 'etl_spuMergeProviderTraining', 'etl_spuMergeProviderOffice', 'FastPass_spuMergeProviderToHealthInsurance', 'FastPass_spuPreProcess', 'etl_spuMergeProviderIdentification', 'FastPass_spuMergeProviderToStatus', 'FastPass_spuMergeProviderToProviderType', 'RawFile_spuMergeProviderEducationInstitution', 'etl_spuMergeProviderOfficeCustomerProduct', 'etl_spuMergeProviderClinicalFocus', 'etl_spuMergeOfficeHours', 'etl_spuMergeProviderAboutMe', 'etl_spuMergeProviderAppointmentAvailability', 'FastPass_spuDeleteClientProductEntityRelationship', 'etl_spuMergeProviderURL', 'FastPass_spuDeleteProviderFacilityDesignations', 'RawFile_spuOfficeToPhone', 'etl_spuMergeProviderCustomerProductDisplayPartner', 'etl_spuMergeProviderFacilityCustomerProduct', 'etl_spuMergePractice', 'FastPass_spuMergePractice', 'FastPass_spuMergeProviderToAboutMe', 'etl_spuMergeProviderMedia', 'etl_spuMergePracticeOfficeCustomerProduct', 'FastPass_spuMergeProviderToFacility', 'etl_spuMergeProviderHealthInsurance', 'RawFile_spuProviderToOffice', 'FastPass_spuMergeProviderToSpecialty', 'etl_spuMergePracticeCustomerProduct', 'Hack_spuCustomerProductReplace', 'RawFile_spuProviderToStatus', 'FastPass_spuMergeProviderToEducationInstitution', 'etl_spuMergeProviderIdentifier', 'FastPass_spuMergeOfficeToAddress', 'RawFile_spuProviderToAboutMe', 'FastPass_spuMergeProviderToCertificationSpecialty', 'etl_spuMergeProviderImage', 'util_spuGetErrorInfo', 'RawFile_spuPreProcessing', 'etl_spuMergeProviderDegree', 'FastPass_spuMergeProvider', 'etl_spuMergeCityStatePostalCode', 'FastPass_spuMergeProviderLicense', 'RawFile_spuProviderToFacility', 'etl_spuMergeProviderTelehealth', 'FastPass_spuMergeProviderToDegree', 'RawFile_spuMergeProvider', 'FastPass_spuMergeProviderToLanguage', 'etl_spuMergeProviderProviderSubType', 'RawFile_spuProviderToTelehealth', 'RawFile_spuProviderToSpecialty', 'FastPass_spuMergeProviderToTelehealth', 'etl_spuMergeOfficeSyndication', 'etl_spuMergeProviderProviderType', 'etl_spuMergeProviderAppointmentAvailabilityStatement', 'RawFile_spuMergeProviderLanguage', 'etl_spuMergeProviderLicense', 'etl_spuMergeProviderVideo', 'util_spuGetErrorInfo']"
snowflake,raw,entity_merge_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
snowflake,raw,provider_profile_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'Hack_spuCustomerProductReplace', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,provider_profile_processing_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuMergeProviderOfficeCustomerProduct', 'etl_spuRenameTablesForProcessing', 'etl_spuMergeProviderOfficeCustomerProduct']"
snowflake,raw,provider_profile_processing_condition_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
snowflake,raw,provider_profile_processing_procedure_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
snowflake,raw,provider_profile_processing_health_insurance_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
snowflake,raw,office_profile_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'Hack_spuCustomerProductReplace', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,office_profile_processing_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,practice_profile_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'Hack_spuCustomerProductReplace', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,practice_profile_processing_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,facility_profile_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'Hack_spuCustomerProductReplace', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,facility_profile_processing_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
snowflake,raw,customer_product_profile_processing,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing', 'FastPass_spuDeleteFromMDM']"
snowflake,raw,customer_product_profile_processing_de_dup,"['etl_spuRenameTablesForProcessing', 'etl_spuRenameTablesForProcessing']"
ods1_stage,base,provider_survey_suppression,"['etl_spuMergeProviderSurveySuppression', 'etl_spuMergeProviderSurveySuppression']"
ods1_stage,base,provider_to_facility,"['etl_spuMergeProviderFacility', 'etl_spuMergeProviderFacility', 'etl_spuMergeProviderBridgeCalcsAndRanks', 'FastPass_spuMergeProviderToFacility']"
