database_name,schema_name,table_name
ods1_stage,alerts,provider_office_oas_missing
ods1_stage,archive,market__archive_output
ods1_stage,archive,market_share__archive_output
ods1_stage,archive,market_share_to_client_product_entity__archive_output
ods1_stage,archive,party_specialty_market_override__archive_output
ods1_stage,base,about_me
ods1_stage,base,address
ods1_stage,base,address_type
ods1_stage,base,affiliation
ods1_stage,base,appointment_availability
ods1_stage,base,appointment_option
ods1_stage,base,award
ods1_stage,base,award_category
ods1_stage,base,award_category_ghetto
ods1_stage,base,award_ghetto
ods1_stage,base,award_to_cohort_ghetto
ods1_stage,base,award_to_condition
ods1_stage,base,award_to_procedure
ods1_stage,base,award_to_service_line_ghetto
ods1_stage,base,award_to_service_line_to_message_to_year
ods1_stage,base,award_to_service_line_to_page_to_year
ods1_stage,base,award_to_service_line_to_party
ods1_stage,base,award_to_service_line_to_party_to_message_to_year
ods1_stage,base,award_to_service_line_to_party_to_page_to_year
ods1_stage,base,award_to_specialty
ods1_stage,base,beryl_language_codes
ods1_stage,base,beryl_specialty_codes
ods1_stage,base,body_part_level_one
ods1_stage,base,body_part_level_one_to_body_part_level_two
ods1_stage,base,body_part_level_two
ods1_stage,base,body_part_level_type
ods1_stage,base,body_part_level_type_to_body_part_level_one_to_body_part_level_two
ods1_stage,base,body_part_to_condition
ods1_stage,base,body_part_to_procedure_medical
ods1_stage,base,call_center
ods1_stage,base,call_center_to_email
ods1_stage,base,call_center_to_phone
ods1_stage,base,call_center_type
ods1_stage,base,certification_agency
ods1_stage,base,certification_agency_to_board
ods1_stage,base,certification_agency_to_board_to_specialty
ods1_stage,base,certification_board
ods1_stage,base,certification_board_to_certification_category
ods1_stage,base,certification_category
ods1_stage,base,certification_category_to_medical_term
ods1_stage,base,certification_specialty
ods1_stage,base,certification_status
ods1_stage,base,channel
ods1_stage,base,city_state_centroid
ods1_stage,base,city_state_neighborhood
ods1_stage,base,city_state_postal_code
ods1_stage,base,city_state_postal_code_to_statistical_area
ods1_stage,base,client
ods1_stage,base,client_entity_opt
ods1_stage,base,client_entity_opt_type
ods1_stage,base,client_entity_to_client_feature
ods1_stage,base,client_feature
ods1_stage,base,client_feature_group
ods1_stage,base,client_feature_to_client_feature_value
ods1_stage,base,client_feature_value
ods1_stage,base,client_market_load
ods1_stage,base,client_market_load_exceptions
ods1_stage,base,client_market_load_header
ods1_stage,base,client_product_entity_relationship
ods1_stage,base,client_product_entity_source_identifier
ods1_stage,base,client_product_entity_to_display_partner_phone
ods1_stage,base,client_product_entity_to_image
ods1_stage,base,client_product_entity_to_phone
ods1_stage,base,client_product_entity_to_url
ods1_stage,base,client_product_image
ods1_stage,base,client_product_to_call_center
ods1_stage,base,client_product_to_client_feature_group
ods1_stage,base,client_product_to_entity
ods1_stage,base,client_product_to_partner
ods1_stage,base,client_to_oas_partner
ods1_stage,base,client_to_page_to_message
ods1_stage,base,client_to_product
ods1_stage,base,client_to_product_revenue_detail
ods1_stage,base,clinical_focus
ods1_stage,base,clinical_focus_20210126_091539
ods1_stage,base,clinical_focus_20210518_170430
ods1_stage,base,clinical_focus_20211105
ods1_stage,base,clinical_focus_dcp
ods1_stage,base,clinical_focus_dcp_20210126_091902
ods1_stage,base,clinical_focus_dcp_20211118_115400
ods1_stage,base,clinical_focus_dcp_bad
ods1_stage,base,clinical_focus_provider_data
ods1_stage,base,clinical_focus_provider_data_20210126_092009
ods1_stage,base,clinical_focus_provider_data_20210518_170056
ods1_stage,base,clinical_focus_provider_data_20211118_115400
ods1_stage,base,clinical_focus_provider_data_bad
ods1_stage,base,clinical_focus_rule
ods1_stage,base,clinical_focus_to_condition
ods1_stage,base,clinical_focus_to_discipline
ods1_stage,base,clinical_focus_to_medicalterm
ods1_stage,base,clinical_focus_to_procedure_medical
ods1_stage,base,clinical_focus_to_specialty
ods1_stage,base,clinical_focus_to_specialty_20210126_092134
ods1_stage,base,clinical_focus_to_specialty_20210518_170056
ods1_stage,base,clinical_focus_to_specialty_20211118_115400
ods1_stage,base,cohort_to_condition
ods1_stage,base,cohort_to_procedure
ods1_stage,base,cohort_to_specialty
ods1_stage,base,condition_synonym
ods1_stage,base,condition_to_condition
ods1_stage,base,condition_to_condition_volume_mapping
ods1_stage,base,days_of_week
ods1_stage,base,degree
ods1_stage,base,destination_phone_number_type
ods1_stage,base,discipline
ods1_stage,base,display_specialty_rule
ods1_stage,base,display_specialty_rule_to_certification_specialty
ods1_stage,base,display_specialty_rule_to_clinical_focus
ods1_stage,base,display_specialty_rule_to_specialty
ods1_stage,base,display_status
ods1_stage,base,education_institution
ods1_stage,base,education_institution_20220102
ods1_stage,base,education_institution_type
ods1_stage,base,email
ods1_stage,base,email_type
ods1_stage,base,entity_to_medical_term
ods1_stage,base,entity_to_medical_term_to_certification_board
ods1_stage,base,entity_to_metric
ods1_stage,base,entity_type
ods1_stage,base,experience_boost_weight
ods1_stage,base,external_oas_partner
ods1_stage,base,facility
ods1_stage,base,facility_award_priority
ods1_stage,base,facility_award_priority_to_party
ods1_stage,base,facility_check_in_url
ods1_stage,base,facility_go_around
ods1_stage,base,facility_hours
ods1_stage,base,facility_hours_backup
ods1_stage,base,facility_image
ods1_stage,base,facility_image_20211217
ods1_stage,base,facility_syndication
ods1_stage,base,facility_syndication_backup
ods1_stage,base,facility_to_address
ods1_stage,base,facility_to_condition
ods1_stage,base,facility_to_facility_type
ods1_stage,base,facility_to_image
ods1_stage,base,facility_to_language
ods1_stage,base,facility_to_procedure_medical
ods1_stage,base,facility_to_service
ods1_stage,base,facility_type
ods1_stage,base,facility_video
ods1_stage,base,forwarding_phone_vendor
ods1_stage,base,gender
ods1_stage,base,geographic_area
ods1_stage,base,geographic_area_type
ods1_stage,base,health_insurance_payor
ods1_stage,base,health_insurance_payor_20220721
